ticker,sector,spider_id
DV,Communication Services,SECTOR_COMMUNICATION_SERVICES
DXPE,Industrials,SECTOR_INDUSTRIALS
DY,Industrials,SECTOR_INDUSTRIALS
DYN,Healthcare,SECTOR_HEALTHCARE
EAT,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
EBC,Financials,SECTOR_FINANCIALS
ECL,Materials,SECTOR_MATERIALS
ECPG,Financials,SECTOR_FINANCIALS
EE,Energy,SECTOR_ENERGY
EFX,Industrials,SECTOR_INDUSTRIALS
EGY,Energy,SECTOR_ENERGY
ELA,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
ELAN,Healthcare,SECTOR_HEALTHCARE
ELF,Consumer Staples,SECTOR_CONSUMER_STAPLES
EME,Industrials,SECTOR_INDUSTRIALS
EMN,Materials,SECTOR_MATERIALS
EMR,Industrials,SECTOR_INDUSTRIALS
ENS,Industrials,SECTOR_INDUSTRIALS
ENSG,Healthcare,SECTOR_HEALTHCARE
ENTA,Healthcare,SECTOR_HEALTHCARE
ENVA,Financials,SECTOR_FINANCIALS
ENVX,Industrials,SECTOR_INDUSTRIALS
EOI,Financials,SECTOR_FINANCIALS
EOSE,Industrials,SECTOR_INDUSTRIALS
EPAM,Technology,SECTOR_TECHNOLOGY
EPD,Energy,SECTOR_ENERGY
EQH,Financials,SECTOR_FINANCIALS
ERAS,Healthcare,SECTOR_HEALTHCARE
ERIE,Financials,SECTOR_FINANCIALS
ESE,Technology,SECTOR_TECHNOLOGY
ESPR,Healthcare,SECTOR_HEALTHCARE
ESTA,Healthcare,SECTOR_HEALTHCARE
ETB,Financials,SECTOR_FINANCIALS
ETJ,Financials,SECTOR_FINANCIALS
ETON,Healthcare,SECTOR_HEALTHCARE
ETR,Utilities,SECTOR_UTILITIES
ETV,Financials,SECTOR_FINANCIALS
EU,Energy,SECTOR_ENERGY
EVCM,Technology,SECTOR_TECHNOLOGY
EVER,Communication Services,SECTOR_COMMUNICATION_SERVICES
EVI,Industrials,SECTOR_INDUSTRIALS
EVLV,Industrials,SECTOR_INDUSTRIALS
EVR,Financials,SECTOR_FINANCIALS
EVRG,Utilities,SECTOR_UTILITIES
EWBC,Financials,SECTOR_FINANCIALS
EXAS,Healthcare,SECTOR_HEALTHCARE
EXE,Energy,SECTOR_ENERGY
EXLS,Technology,SECTOR_TECHNOLOGY
EXP,Materials,SECTOR_MATERIALS
EXPE,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
EXPO,Industrials,SECTOR_INDUSTRIALS
EXTR,Technology,SECTOR_TECHNOLOGY
EYE,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
EYPT,Healthcare,SECTOR_HEALTHCARE
EZPW,Financials,SECTOR_FINANCIALS
FA,Industrials,SECTOR_INDUSTRIALS
FAF,Financials,SECTOR_FINANCIALS
FBIZ,Financials,SECTOR_FINANCIALS
FBNC,Financials,SECTOR_FINANCIALS
FBP,Financials,SECTOR_FINANCIALS
FBRX,Healthcare,SECTOR_HEALTHCARE
FCF,Financials,SECTOR_FINANCIALS
FCNCA,Financials,SECTOR_FINANCIALS
FCX,Materials,SECTOR_MATERIALS
FDMT,Healthcare,SECTOR_HEALTHCARE
FDP,Consumer Staples,SECTOR_CONSUMER_STAPLES
FDUS,Financials,SECTOR_FINANCIALS
FDX,Industrials,SECTOR_INDUSTRIALS
FE,Utilities,SECTOR_UTILITIES
FEIM,Technology,SECTOR_TECHNOLOGY
FET,Energy,SECTOR_ENERGY
FFA,Financials,SECTOR_FINANCIALS
FFBC,Financials,SECTOR_FINANCIALS
FFC,Financials,SECTOR_FINANCIALS
FHB,Financials,SECTOR_FINANCIALS
FHI,Financials,SECTOR_FINANCIALS
FIBK,Financials,SECTOR_FINANCIALS
FICO,Technology,SECTOR_TECHNOLOGY
FISV,Technology,SECTOR_TECHNOLOGY
FITB,Financials,SECTOR_FINANCIALS
