ticker,sector,spider_id,batch,batch_name,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,expectancy_r,net_pnl_usd,net_return_pct,gross_wins_usd,gross_losses_usd,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_hold_days,stage6_entries,stage7_entries
TFSL,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,6,4,2,66.67,3.1025,0.6489,419.54,4.1954,619.08,199.54,6.7443,-4.8121,15.0201,-5.3983,20.7,0,6
ACLS,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,9,4,5,44.44,2.8015,0.6476,614.77,6.1477,956.03,341.26,21.7875,-6.4275,29.8142,-14.9982,11.0,0,9
MLM,Materials,SECTOR_MATERIALS,B1,Batch 1 — 2022 to 2023,9,7,2,77.78,4.9492,0.646,554.98,5.5498,695.51,140.53,5.1789,-4.9456,10.905,-6.654,14.4,2,7
LASR,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,6,3,3,50.0,2.2762,0.6445,420.44,4.2044,749.89,329.45,19.6202,-11.4804,35.5865,-14.0784,21.2,0,6
BCML,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,6,6,0,100.0,inf,0.6423,355.5,3.555,355.5,0.0,3.6677,0.0,12.8175,0.0484,15.0,0,6
TAP,Consumer Staples,SECTOR_CONSUMER_STAPLES,B1,Batch 1 — 2022 to 2023,5,3,2,60.0,2.2904,0.641,319.04,3.1904,566.28,247.24,7.4241,-4.376,16.6359,-4.7654,13.2,1,4
RXRX,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,5,3,2,60.0,2.5631,0.6383,279.27,2.7927,457.93,178.66,27.3762,-16.4991,38.2946,-17.3662,48.8,0,5
CELC,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,6,3,3,50.0,2.6295,0.6355,380.27,3.8027,613.64,233.37,31.1016,-9.3466,64.9664,-16.0153,31.7,0,6
CWH,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,8,4,4,50.0,2.5771,0.6329,456.32,4.5632,745.66,289.34,16.263,-5.4348,24.1236,-7.8792,12.8,0,8
IAC,Communication Services,SECTOR_COMMUNICATION_SERVICES,B1,Batch 1 — 2022 to 2023,5,2,3,40.0,2.1001,0.6308,325.75,3.2575,621.85,296.1,19.7166,-8.9183,26.5226,-9.3884,45.8,1,4
AMWD,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,8,3,5,37.5,2.9804,0.6297,582.46,5.8246,876.57,294.11,16.3686,-5.0045,36.2747,-9.7603,18.5,0,8
Z,Communication Services,SECTOR_COMMUNICATION_SERVICES,B1,Batch 1 — 2022 to 2023,8,5,3,62.5,2.6947,0.6272,412.51,4.1251,655.92,243.41,14.0002,-8.6897,36.6667,-11.6057,19.5,1,7
